"산업별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"산업별(1)",현재인원 (명),성별 (명),성별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),전공별 (명),전공별 (명),전공별 (명),전공별 (명),전공별 (명),전공별 (명),고용형태별  (명),고용형태별  (명),고용형태별  (명),고용형태별  (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),외국인인원  (명),해당직무 입사 3년차 연봉 (만원),현재인원 (명),성별 (명),성별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),전공별 (명),전공별 (명),전공별 (명),전공별 (명),전공별 (명),전공별 (명),고용형태별  (명),고용형태별  (명),고용형태별  (명),고용형태별  (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),외국인인원  (명),외국인인원(여) (명),해당직무 입사 3년차 연봉 (만원),고용안전성 (점),발전가능성 (점),현재인원 (명),성별 (명),성별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),전공별 (명),전공별 (명),전공별 (명),전공별 (명),전공별 (명),전공별 (명),고용형태별  (명),고용형태별  (명),고용형태별  (명),고용형태별  (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),외국인인원  (명),외국인인원(여) (명),해당직무 입사 3년차 연봉 (만원),고용안전성 (점),발전가능성 (점),현재인원 (명),성별 (명),성별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),전공별 (명),전공별 (명),전공별 (명),전공별 (명),전공별 (명),전공별 (명),고용형태별  (명),고용형태별  (명),고용형태별  (명),고용형태별  (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),외국인인원  (명),외국인인원(여) (명),해당직무 입사 3년차 연봉 (만원),고용안전성 (점),발전가능성 (점),현재인원 (명),성별 (명),성별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),학력별 (명),전공별 (명),전공별 (명),전공별 (명),전공별 (명),전공별 (명),전공별 (명),고용형태별  (명),고용형태별  (명),고용형태별  (명),고용형태별  (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),외국인인원  (명),외국인인원(여) (명),해당직무 입사 3년차 연봉 (만원),고용안전성 (점),발전가능성 (점)
"산업별(1)",소계,남,여,고졸,고졸(여),전문학사,전문학사(여),학사,학사(여),석사,석사(여),박사,박사(여),비이공계,비이공계(여),공학계,공학계(여),자연계,자연계(여),정규직,정규직(여),비정규직,비정규직(여),29세이하,29세이하(여),30~39세,30~39세(여),40~49세,40~49세(여),50~59세,50~59세(여),60대 이상,60대 이상(여),소계,소계,소계,남,여,고졸,고졸(여),전문학사,전문학사(여),학사,학사(여),석사,석사(여),박사,박사(여),비이공계,비이공계(여),공학계,공학계(여),자연계,자연계(여),정규직,정규직(여),비정규직,비정규직(여),29세이하,29세이하(여),30~39세,30~39세(여),40~49세,40~49세(여),50~59세,50~59세(여),60대 이상,60대 이상(여),소계,소계,소계,소계,소계,소계,남,여,고졸,고졸(여),전문학사,전문학사(여),학사,학사(여),석사,석사(여),박사,박사(여),비이공계,비이공계(여),공학계,공학계(여),자연계,자연계(여),정규직,정규직(여),비정규직,비정규직(여),29세이하,29세이하(여),30~39세,30~39세(여),40~49세,40~49세(여),50~59세,50~59세(여),60대 이상,60대 이상(여),소계,소계,소계,소계,소계,소계,남,여,고졸,고졸(여),전문학사,전문학사(여),학사,학사(여),석사,석사(여),박사,박사(여),비이공계,비이공계(여),공학계,공학계(여),자연계,자연계(여),정규직,정규직(여),비정규직,비정규직(여),29세이하,29세이하(여),30~39세,30~39세(여),40~49세,40~49세(여),50~59세,50~59세(여),60대 이상,60대 이상(여),소계,소계,소계,소계,소계,소계,남,여,고졸,고졸(여),전문학사,전문학사(여),학사,학사(여),석사,석사(여),박사,박사(여),비이공계,비이공계(여),공학계,공학계(여),자연계,자연계(여),정규직,정규직(여),비정규직,비정규직(여),29세이하,29세이하(여),30~39세,30~39세(여),40~49세,40~49세(여),50~59세,50~59세(여),60대 이상,60대 이상(여),소계,소계,소계,소계,소계
"계",2894,2192,701,209,45,463,100,1471,362,388,99,363,96,229,0,2065,504,391,152,2395,458,499,243,790,335,976,256,807,102,275,7,45,1,0,2892,3532,2973,558,912,202,1171,93,1215,238,137,17,97,9,207,2,2296,324,117,30,3401,490,130,68,549,178,1104,163,1547,202,328,15,4,0,59,0,3119,4.6,4.1,3916,3519,397,397,67,945,77,2173,185,302,50,99,18,29,0,3212,292,277,38,3656,289,260,108,408,149,1582,193,1503,49,410,7,12,0,0,0,3263,3.9,3.8,4038,3248,790,877,258,750,66,1928,397,397,62,85,8,188,10,2604,419,368,103,3958,748,80,42,1014,321,1282,269,1149,141,539,59,54,0,0,0,3376,5.0,3.5,3996,3632,364,697,24,532,84,1955,196,747,54,64,6,41,0,2965,255,293,85,3996,364,0,0,475,165,2001,148,924,48,529,3,66,0,0,0,3750,3.7,3.5
"바이오ㆍ헬스",13,8,4,0,0,0,0,8,4,4,0,0,0,0,0,4,4,8,0,13,4,0,0,8,4,4,0,0,0,0,0,0,0,0,3000,164,110,54,96,36,30,0,38,18,0,0,0,0,0,0,68,18,0,0,164,54,0,0,12,0,30,12,98,30,24,12,0,0,0,0,2787,4.7,4.2,114,86,28,73,28,21,0,7,0,14,0,0,0,0,0,31,0,10,0,114,28,0,0,10,0,59,21,31,7,14,0,0,0,0,0,3467,4.0,4.0,288,169,119,225,111,15,0,28,0,20,8,0,0,0,0,42,0,20,8,288,119,0,0,51,32,63,40,129,20,44,28,0,0,0,0,3606,5.0,3.3,200,155,45,120,24,0,0,56,11,24,10,0,0,0,0,25,0,55,21,200,45,0,0,45,21,93,24,53,0,10,0,0,0,0,0,4311,3.8,3.6
"화학",132,132,0,0,0,0,0,66,0,0,0,66,0,0,0,132,0,0,0,132,0,0,0,0,0,0,0,66,0,66,0,0,0,0,3000,142,142,0,71,0,53,0,18,0,0,0,0,0,0,0,71,0,0,0,142,0,0,0,18,0,35,0,53,0,35,0,0,0,35,0,3000,4.0,3.0,64,51,13,0,0,0,0,38,0,13,13,13,0,0,0,51,13,13,0,64,13,0,0,0,0,38,13,26,0,0,0,0,0,0,0,3400,4.0,4.0,131,88,44,110,44,0,0,22,0,0,0,0,0,0,0,22,0,0,0,131,44,0,0,0,0,22,0,88,22,22,22,0,0,0,0,2733,5.0,3.3,46,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,3700,3.0,4.0
"소프트웨어",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,151,43,0,0,65,22,129,22,0,0,0,0,0,0,194,43,0,0,194,43,0,0,43,22,108,22,43,0,0,0,0,0,0,0,3000,4.0,4.0,701,631,71,0,0,78,11,552,55,71,4,1,0,4,0,696,71,2,0,701,71,0,0,86,7,447,64,158,0,11,0,0,0,0,0,3524,3.9,3.9,821,650,171,0,0,27,6,690,154,83,10,21,0,0,0,821,171,0,0,821,171,0,0,263,80,415,80,117,11,26,0,0,0,0,0,3493,5.0,3.7,836,750,86,0,0,51,9,663,77,118,0,4,0,0,0,836,86,1,0,836,86,0,0,142,41,448,38,201,8,44,0,2,0,0,0,3462,3.8,3.3
"IT 비즈니스",562,267,296,81,41,183,97,292,158,7,0,0,0,2,0,480,255,0,0,329,174,233,122,401,211,120,72,41,13,0,0,0,0,0,0,570,380,191,45,23,169,60,325,107,31,0,0,0,4,0,521,168,0,0,440,122,130,68,346,132,147,48,76,10,1,0,0,0,0,0,3500,3.6,3.6,438,244,194,51,27,156,63,221,104,10,0,0,0,8,0,379,166,0,0,285,111,152,82,274,141,100,45,64,8,0,0,0,0,0,0,3200,3.9,3.9,346,220,126,26,14,98,33,216,79,6,0,0,0,49,10,271,102,0,0,266,84,80,42,161,78,79,33,75,12,30,2,0,0,0,0,3000,4.3,3.9,163,86,77,0,0,46,24,85,43,31,11,1,0,0,0,148,73,15,4,163,77,0,0,91,53,53,21,17,3,3,0,0,0,0,0,3771,3.4,3.0
"식료품 제조업",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,462,174,314,140,252,0,70,35,0,0,0,0,174,0,148,35,0,0,636,174,0,0,0,0,140,35,440,140,56,0,0,0,0,0,2711,4.7,3.9,153,153,0,70,0,24,0,29,0,29,0,0,0,12,0,12,0,58,0,153,0,0,0,0,0,95,0,58,0,0,0,0,0,0,0,2752,3.5,3.5,227,116,112,103,89,35,0,78,22,11,0,0,0,0,0,125,22,0,0,227,112,0,0,45,22,89,34,93,56,0,0,0,0,0,0,3231,5.0,3.5,185,162,23,93,0,23,23,46,0,23,0,0,0,23,0,69,23,0,0,185,23,0,0,23,0,46,23,46,0,69,0,0,0,0,0,3067,3.0,2.7
"음료 제조업",83,79,4,48,4,7,0,20,0,7,0,1,0,0,0,32,0,3,0,83,4,0,0,11,2,32,2,22,0,18,0,0,0,0,2500,124,122,2,41,1,61,0,21,1,1,0,0,0,0,0,83,1,0,0,124,2,0,0,2,1,25,0,71,1,25,0,1,0,0,0,2815,4.7,3.7,109,79,30,28,12,25,3,51,15,4,1,1,0,0,0,65,19,16,0,109,30,0,0,2,1,53,15,39,10,15,5,0,0,0,0,3449,4.0,3.8,59,45,14,12,0,13,0,24,10,9,4,1,0,0,0,47,14,0,0,59,14,0,0,3,2,21,12,23,0,12,0,0,0,0,0,3563,5.0,3.4,68,65,3,29,0,15,0,15,3,6,0,3,0,0,0,39,3,0,0,68,3,0,0,15,0,34,3,13,0,6,0,0,0,0,0,4321,4.0,4.0
"목재 및 나무제품 제조업;가구제외",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"펄프, 종이 및 종이 제품 제조업",6,6,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,2500,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2500,5.0,4.0,18,18,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,18,0,0,0,0,0,4,0,9,0,4,0,0,0,0,0,2600,4.0,4.0,61,61,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,15,0,9,0,12,0,24,0,0,0,0,0,2500,5.0,3.0,51,51,0,47,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,51,0,0,0,0,0,8,0,23,0,19,0,0,0,0,0,3750,3.5,4.0
"비금속 광물제품 제조업",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,501,0,239,0,167,0,95,0,0,0,0,0,0,0,263,0,0,0,501,0,0,0,48,0,167,0,191,0,95,0,0,0,24,0,3186,4.9,4.7,65,65,0,0,0,21,0,44,0,0,0,0,0,0,0,65,0,0,0,65,0,0,0,0,0,21,0,44,0,0,0,0,0,0,0,2700,4.0,4.0,241,241,0,188,0,53,0,0,0,0,0,0,0,0,0,53,0,0,0,241,0,0,0,0,0,32,0,69,0,87,0,53,0,0,0,3580,5.0,3.0,239,239,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,227,0,8,0,4,0,0,0,0,0,3555,3.0,4.0
"연구개발업",236,212,24,0,0,0,0,0,0,74,5,161,18,0,0,170,8,66,15,210,18,25,5,0,0,52,18,134,5,49,0,0,0,0,3717,144,119,25,0,0,0,0,39,18,64,7,40,0,0,0,64,7,80,18,144,25,0,0,4,4,58,18,47,4,36,0,0,0,0,0,2982,5.0,5.0,157,129,28,0,0,0,0,47,0,66,18,44,10,0,0,62,11,95,17,157,28,0,0,0,0,105,13,38,15,13,0,0,0,0,0,3448,4.2,4.2,300,179,121,0,0,23,11,122,80,117,29,37,0,0,0,141,40,159,81,300,121,0,0,82,65,95,37,65,15,57,3,0,0,0,0,3076,5.0,3.9,289,198,91,0,0,40,24,113,46,99,22,37,0,0,0,158,49,131,42,289,91,0,0,61,44,64,23,91,24,60,0,12,0,0,0,3116,4.0,3.3
"전문서비스업",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,13,13,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"건축기술, 엔지니어링 및 기타 과학기술 서비스업",1092,755,337,22,0,100,1,653,181,199,78,117,78,116,0,799,220,155,116,937,220,155,116,278,116,422,142,301,78,48,1,43,0,0,3000,514,504,9,7,0,165,0,340,9,2,0,0,0,0,0,507,9,0,0,514,9,0,0,26,9,180,0,285,0,23,0,0,0,0,0,3418,3.7,3.8,1139,1133,6,18,0,233,0,825,6,60,0,2,0,0,0,1121,6,0,0,1139,6,0,0,20,0,343,6,598,0,177,0,0,0,0,0,3224,4.1,4.0,863,799,64,0,0,162,15,587,49,114,0,0,0,139,0,585,64,139,0,863,64,0,0,331,39,238,25,171,0,123,0,0,0,0,0,3366,5.0,4.0,1285,1285,0,0,0,116,0,783,0,387,0,0,0,0,0,1276,0,10,0,1285,0,0,0,29,0,839,0,242,0,126,0,48,0,0,0,3288,4.1,3.7
"기타 전문, 과학 및 기술 서비스업",142,128,14,0,0,0,0,43,0,85,14,14,0,0,0,0,0,142,14,57,14,85,0,28,0,85,14,28,0,0,0,0,0,0,2500,79,59,20,0,0,0,0,12,4,36,8,31,8,0,0,79,20,0,0,79,20,0,0,9,2,28,10,37,8,4,0,0,0,0,0,0,5.0,4.0,114,88,26,0,0,0,0,59,5,31,12,24,8,0,0,46,7,68,19,7,0,108,26,0,0,30,16,67,10,11,0,7,0,0,0,0,5.0,4.0,71,57,14,0,0,0,0,29,0,26,6,15,8,0,0,39,6,32,8,71,14,0,0,13,4,29,8,23,3,6,0,0,0,0,0,3560,5.0,3.6,88,68,20,0,0,0,0,44,4,31,10,13,6,0,0,24,5,63,15,88,20,0,0,15,3,37,7,23,10,13,0,0,0,0,0,5625,4.3,3.6
"영상ㆍ오디오 기록물 제작 및 배급업",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,17,2,2,9,9,9,6,0,0,0,0,3,2,15,13,0,0,21,17,0,0,9,7,12,10,0,0,0,0,0,0,0,0,3150,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,23,14,10,0,0,2,1,20,9,1,0,0,0,0,0,23,10,0,0,23,10,0,0,0,0,16,7,7,3,0,0,0,0,0,0,3467,3.8,3.5
"통신업",366,353,13,27,0,104,0,235,13,0,0,0,0,104,0,235,13,0,0,366,13,0,0,55,0,115,5,136,7,61,0,0,0,0,2833,159,159,0,38,0,66,0,55,0,0,0,0,0,17,0,103,0,0,0,159,0,0,0,27,0,54,0,69,0,9,0,0,0,0,0,3992,4.7,4.1,235,235,0,0,0,132,0,104,0,0,0,0,0,0,0,235,0,0,0,235,0,0,0,0,0,124,0,111,0,0,0,0,0,0,0,2916,3.4,3.4,153,153,0,40,0,28,0,85,0,0,0,0,0,0,0,113,0,0,0,153,0,0,0,22,0,53,0,72,0,6,0,0,0,0,0,3500,5.0,4.0,276,276,0,101,0,116,0,59,0,0,0,0,0,0,0,175,0,0,0,276,0,0,0,44,0,74,0,124,0,34,0,0,0,0,0,3842,3.7,3.1
"환경 정화 및 복원업",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3750,4.5,4.0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4.0,4.0,16,16,0,0,0,12,0,4,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,3,0,2,0,10,0,1,0,0,0,0,0,3500,5.0,4.0,28,28,0,0,0,15,0,10,0,2,0,1,0,0,0,28,0,0,0,28,0,0,0,5,0,6,0,15,0,2,0,0,0,0,0,4133,3.0,3.0
"임대업; 부동산제외",22,22,0,0,0,22,0,0,0,0,0,0,0,0,0,22,0,0,0,22,0,0,0,0,0,11,0,11,0,0,0,0,0,0,1800,74,74,0,14,0,48,0,12,0,0,0,0,0,6,0,54,0,0,0,74,0,0,0,0,0,38,0,31,0,6,0,0,0,0,0,3764,4.7,3.9,45,45,0,8,0,11,0,27,0,0,0,0,0,0,0,37,0,0,0,45,0,0,0,0,0,29,0,16,0,0,0,0,0,0,0,3450,4.0,4.0,43,43,0,7,0,35,0,1,0,0,0,0,0,0,0,36,0,0,0,43,0,0,0,2,0,12,0,24,0,5,0,0,0,0,0,3451,5.0,3.1,66,66,0,0,0,66,0,0,0,0,0,0,0,0,0,66,0,0,0,66,0,0,0,0,0,10,0,7,0,49,0,0,0,0,0,5744,4.0,4.0
"사업시설 관리 및 조경 서비스업",145,145,0,29,0,35,0,82,0,0,0,0,0,6,0,104,0,7,0,145,0,0,0,5,0,74,0,43,0,23,0,1,0,0,2829,74,74,0,38,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,74,0,0,0,0,0,28,0,46,0,0,0,0,0,0,0,2736,4.4,3.4,463,463,0,130,0,194,0,137,0,2,0,0,0,5,0,329,0,0,0,463,0,0,0,14,0,110,0,190,0,149,0,0,0,0,0,2724,3.4,3.2,307,307,0,88,0,196,0,23,0,0,0,0,0,0,0,219,0,0,0,307,0,0,0,19,0,98,0,135,0,56,0,0,0,0,0,2880,5.0,3.6,42,40,2,21,0,19,2,2,0,0,0,0,0,0,0,21,2,0,0,42,2,0,0,2,2,19,0,9,0,12,0,0,0,0,0,4741,3.8,3.8
"사업지원 서비스업",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,11,11,0,0,0,10,0,1,0,0,0,0,0,1,0,10,0,0,0,11,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,2650,4.0,4.0,20,20,0,13,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,20,0,0,0,3,0,13,0,5,0,0,0,0,0,0,0,3000,5.0,4.0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4500,4.0,4.0
"교육서비스업",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"보건업",95,84,10,0,0,9,2,72,7,11,2,3,0,1,0,84,4,9,7,95,10,0,0,3,1,59,3,25,0,8,6,1,1,0,2836,127,104,23,2,0,45,2,51,18,2,2,27,1,2,0,86,10,37,12,127,23,0,0,6,1,50,8,58,10,10,3,3,0,0,0,4061,4.5,4.3,73,71,2,11,0,33,0,14,0,2,2,14,0,0,0,47,0,16,2,73,2,0,0,2,0,11,0,39,0,16,2,6,0,0,0,5251,3.8,3.9,90,84,6,4,0,46,0,18,2,11,4,11,0,0,0,67,0,19,6,90,6,0,0,2,0,11,0,36,2,40,4,1,0,0,0,4332,5.0,3.3,109,102,7,2,0,23,1,54,3,25,3,5,0,18,0,72,4,17,3,109,7,0,0,4,1,27,2,45,1,30,3,3,0,0,0,4739,3.9,3.4
