"행정구역별(시도)","성별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"행정구역별(시도)","성별",외국인,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75세 이상,외국인,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75세 이상,외국인,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75세 이상,외국인,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75세 이상
"전국","계",1363712,23273,14901,9432,23534,145172,237392,200576,143273,122906,121216,117471,93754,62516,26148,9809,12339,1413758,25775,17566,10534,27311,152146,239214,213718,150460,120621,123306,123372,89458,68827,29011,9929,12510,1479247,27022,15152,8816,30563,161704,243718,231716,166309,120666,128530,121787,90876,76527,33057,10764,12040,1651561,32275,18792,11860,37692,194511,260938,258920,191494,134146,136565,124949,107372,81013,36694,12022,12318
"전국","남자",788663,11885,7683,4868,10961,78919,147001,131891,95078,76341,65943,58868,46436,31421,12666,4248,4454,815467,13143,9152,5440,12573,81969,148745,138444,98874,75112,67994,62726,44275,34555,14019,4207,4239,845663,13698,7801,4503,14142,86007,150593,147564,107308,74096,70938,62080,44566,38282,15873,4487,3725,945641,16441,9529,5984,18166,106914,162450,162953,121378,81783,76344,64497,52939,40166,17526,4947,3624
"전국","여자",575049,11388,7218,4564,12573,66253,90391,68685,48195,46565,55273,58603,47318,31095,13482,5561,7885,598291,12632,8414,5094,14738,70177,90469,75274,51586,45509,55312,60646,45183,34272,14992,5722,8271,633584,13324,7351,4313,16421,75697,93125,84152,59001,46570,57592,59707,46310,38245,17184,6277,8315,705920,15834,9263,5876,19526,87597,98488,95967,70116,52363,60221,60452,54433,40847,19168,7075,8694
"읍부","계",149105,1576,978,583,1694,17798,30447,26651,18475,14129,12170,10145,7000,4168,1783,730,778,159804,1910,1261,720,2134,18441,32289,29073,20243,14513,12665,11028,7136,4771,2045,725,850,168383,2135,1234,770,2507,18646,33011,31329,22193,14761,13614,11240,7623,5363,2244,870,843,196488,2735,1755,1181,3692,22852,37952,36413,26595,17321,14902,12037,8830,5850,2546,952,875
"읍부","남자",97855,828,463,300,901,11769,21441,19436,13341,9403,7003,5485,3738,2208,904,327,308,104987,968,624,388,1097,12365,22859,21056,14539,9658,7401,6035,3780,2526,1033,332,326,108945,1084,616,399,1244,12274,23378,22118,15686,9656,7849,6045,3916,2864,1128,389,299,126492,1389,883,589,1853,15149,26944,25376,18278,11260,8668,6514,4545,3092,1257,422,273
"읍부","여자",51250,748,515,283,793,6029,9006,7215,5134,4726,5167,4660,3262,1960,879,403,470,54817,942,637,332,1037,6076,9430,8017,5704,4855,5264,4993,3356,2245,1012,393,524,59438,1051,618,371,1263,6372,9633,9211,6507,5105,5765,5195,3707,2499,1116,481,544,69996,1346,872,592,1839,7703,11008,11037,8317,6061,6234,5523,4285,2758,1289,530,602
"면부","계",228358,979,718,455,1985,31763,54739,45715,29878,20218,15044,11518,7764,4255,1874,679,774,236664,1092,898,498,2143,32687,56505,48125,31103,20152,15492,12217,7619,4663,1981,722,767,242782,1154,781,498,2590,32010,57682,49920,33485,19856,15925,12365,7976,5014,2067,747,712,266223,1513,1042,727,3134,36312,62341,55406,38014,22313,16481,12031,8326,4997,2090,778,718
"면부","남자",164038,509,371,218,1000,22316,41207,35873,23284,14675,9505,6598,4464,2374,1016,313,315,170410,576,447,235,1093,23042,43129,37565,24275,14518,9883,7034,4282,2621,1058,346,306,173743,596,371,238,1375,22498,43979,38772,25676,14165,10059,7056,4400,2835,1103,358,262,190552,783,505,377,1811,25933,47643,42504,28741,15849,10491,6882,4522,2762,1116,366,267
"면부","여자",64320,470,347,237,985,9447,13532,9842,6594,5543,5539,4920,3300,1881,858,366,459,66254,516,451,263,1050,9645,13376,10560,6828,5634,5609,5183,3337,2042,923,376,461,69039,558,410,260,1215,9512,13703,11148,7809,5691,5866,5309,3576,2179,964,389,450,75671,730,537,350,1323,10379,14698,12902,9273,6464,5990,5149,3804,2235,974,412,451
"동부","계",986249,20718,13205,8394,19855,95611,152206,128210,94920,88559,94002,95808,78990,54093,22491,8400,10787,1017290,22773,15407,9316,23034,101018,150420,136520,99114,85956,95149,100127,74703,59393,24985,8482,10893,1068082,23733,13137,7548,25466,111048,153025,150467,110631,86049,98991,98182,75277,66150,28746,9147,10485,1188850,28027,15995,9952,30866,135347,160645,167101,126885,94512,105182,100881,90216,70166,32058,10292,10725
"동부","남자",526770,10548,6849,4350,9060,44834,84353,76582,58453,52263,49435,46785,38234,26839,10746,3608,3831,540070,11599,8081,4817,10383,46562,82757,79823,60060,50936,50710,49657,36213,29408,11928,3529,3607,562975,12018,6814,3866,11523,51235,83236,86674,65946,50275,53030,48979,36250,32583,13642,3740,3164,628597,14269,8141,5018,14502,65832,87863,95073,74359,54674,57185,51101,43872,34312,15153,4159,3084
"동부","여자",459479,10170,6356,4044,10795,50777,67853,51628,36467,36296,44567,49023,40756,27254,11745,4792,6956,477220,11174,7326,4499,12651,54456,67663,56697,39054,35020,44439,50470,38490,29985,13057,4953,7286,505107,11715,6323,3682,13943,59813,69789,63793,44685,35774,45961,49203,39027,33567,15104,5407,7321,560253,13758,7854,4934,16364,69515,72782,72028,52526,39838,47997,49780,46344,35854,16905,6133,7641
"서울특별시","계",337116,7535,5330,3654,8057,30745,43304,33491,25786,27831,34362,39716,35027,24166,9755,3597,4760,335167,7707,5946,3941,9540,33598,41250,34632,25565,25379,32534,39550,31306,25638,10446,3475,4660,343927,7463,4571,2809,9616,38376,41895,38924,28581,24518,32647,36631,30200,28064,11719,3563,4350,374425,8550,5285,3503,10316,46385,43117,42092,31941,26277,34033,36875,36009,29126,12728,3902,4286
"서울특별시","남자",165218,3898,2791,1912,3396,11734,20691,17597,14595,15499,17548,19020,16818,11968,4606,1496,1649,162741,3948,3120,2094,3888,12127,19090,17859,14268,14381,16769,19404,15125,12719,5026,1447,1476,165249,3769,2363,1486,3796,13442,18924,20087,15885,13940,17010,17974,14356,13893,5629,1445,1250,182420,4311,2713,1791,4269,17517,19720,21747,17596,14958,18368,18574,17596,14342,6161,1559,1198
"서울특별시","여자",171898,3637,2539,1742,4661,19011,22613,15894,11191,12332,16814,20696,18209,12198,5149,2101,3111,172426,3759,2826,1847,5652,21471,22160,16773,11297,10998,15765,20146,16181,12919,5420,2028,3184,178678,3694,2208,1323,5820,24934,22971,18837,12696,10578,15637,18657,15844,14171,6090,2118,3100,192005,4239,2572,1712,6047,28868,23397,20345,14345,11319,15665,18301,18413,14784,6567,2343,3088
"부산광역시","계",44070,521,475,415,1288,7464,9012,6921,4775,3755,2892,2360,1804,1169,559,266,394,46168,515,500,410,1770,8092,8963,7430,4992,3798,3094,2488,1709,1262,564,211,370,48808,480,301,261,2083,8896,9177,7996,5544,3937,3280,2610,1787,1307,611,227,311,55506,601,393,308,2545,10908,10092,9058,6548,4442,3622,2591,1946,1299,613,248,292
"부산광역시","남자",26008,265,238,214,586,3687,5622,4832,3330,2502,1593,1156,825,583,290,138,147,26920,259,261,199,830,3835,5545,5068,3448,2477,1747,1250,827,637,287,111,139,28130,234,147,124,968,4281,5565,5296,3751,2500,1853,1370,860,659,286,117,119,31621,305,193,151,1250,5473,6035,5800,4247,2736,2055,1307,925,639,287,120,98
"부산광역시","여자",18062,256,237,201,702,3777,3390,2089,1445,1253,1299,1204,979,586,269,128,247,19248,256,239,211,940,4257,3418,2362,1544,1321,1347,1238,882,625,277,100,231,20678,246,154,137,1115,4615,3612,2700,1793,1437,1427,1240,927,648,325,110,192,23885,296,200,157,1295,5435,4057,3258,2301,1706,1567,1284,1021,660,326,128,194
"대구광역시","계",29282,370,294,187,606,4206,6308,4843,3365,2584,2241,1664,1135,744,319,180,236,30492,402,341,224,606,4097,6318,5360,3583,2610,2381,1882,1160,772,369,160,227,31365,405,230,143,717,4033,6264,5738,3810,2665,2502,1987,1272,845,413,155,186,35280,493,297,217,1143,5027,6601,6372,4538,3022,2568,1957,1380,854,466,165,180
"대구광역시","남자",17292,168,146,89,263,2279,3774,3208,2287,1685,1249,884,554,360,157,89,100,17948,185,159,118,300,2227,3831,3478,2343,1674,1360,979,568,377,184,72,93,18112,190,106,77,321,2149,3743,3592,2424,1649,1431,1027,639,421,193,78,72,19839,240,145,112,537,2642,3869,3852,2773,1780,1452,989,677,411,211,80,69
"대구광역시","여자",11990,202,148,98,343,1927,2534,1635,1078,899,992,780,581,384,162,91,136,12544,217,182,106,306,1870,2487,1882,1240,936,1021,903,592,395,185,88,134,13253,215,124,66,396,1884,2521,2146,1386,1016,1071,960,633,424,220,77,114,15441,253,152,105,606,2385,2732,2520,1765,1242,1116,968,703,443,255,85,111
"인천광역시","계",67850,1311,897,616,1253,5715,11265,11293,8182,6629,5919,5284,3951,3006,1269,551,709,71873,1703,1102,740,1323,5655,11448,12030,8868,6658,6298,5755,4075,3282,1573,594,769,79170,2162,1207,768,1519,6120,12027,13710,10145,6928,6892,6024,4509,3781,1911,665,802,88489,2842,1602,1071,1962,7393,12708,15123,11408,7572,7217,6243,5318,4284,2180,758,808
"인천광역시","남자",40224,660,469,309,589,3267,7243,7636,5531,4134,3302,2681,1906,1435,576,231,255,41959,881,594,385,629,3157,7272,7961,5829,4095,3497,2923,1977,1541,727,228,263,45773,1101,647,412,752,3517,7499,8800,6628,4232,3736,3070,2231,1768,872,258,250,50742,1472,826,538,984,4364,7885,9563,7329,4635,3922,3129,2557,2007,1010,292,229
"인천광역시","여자",27626,651,428,307,664,2448,4022,3657,2651,2495,2617,2603,2045,1571,693,320,454,29914,822,508,355,694,2498,4176,4069,3039,2563,2801,2832,2098,1741,846,366,506,33397,1061,560,356,767,2603,4528,4910,3517,2696,3156,2954,2278,2013,1039,407,552,37747,1370,776,533,978,3029,4823,5560,4079,2937,3295,3114,2761,2277,1170,466,579
"광주광역시","계",21592,286,208,143,559,4008,4577,3197,2192,1823,1468,1320,879,489,213,92,138,23701,364,263,191,642,4230,4966,3528,2436,1992,1687,1441,930,549,261,99,122,26052,424,257,185,766,4717,5189,3967,2784,2072,1926,1563,1040,652,295,114,101,29833,511,339,244,1226,5623,5723,4481,3247,2382,2108,1659,1093,690,285,117,105
"광주광역시","남자",12211,142,110,73,284,2004,2721,2057,1418,1103,798,614,437,246,104,39,61,13211,184,129,99,317,2181,2929,2142,1528,1166,913,682,455,278,117,41,50,14532,220,129,92,423,2484,3078,2353,1702,1172,1066,745,522,325,135,47,39,16601,259,159,124,621,3168,3340,2618,1924,1327,1170,812,523,346,123,49,38
"광주광역시","여자",9381,144,98,70,275,2004,1856,1140,774,720,670,706,442,243,109,53,77,10490,180,134,92,325,2049,2037,1386,908,826,774,759,475,271,144,58,72,11520,204,128,93,343,2233,2111,1614,1082,900,860,818,518,327,160,67,62,13232,252,180,120,605,2455,2383,1863,1323,1055,938,847,570,344,162,68,67
"대전광역시","계",19080,407,265,191,927,4374,3454,2270,1577,1353,1206,1122,865,546,258,114,151,19687,403,311,184,975,4442,3462,2436,1688,1340,1301,1158,841,621,270,105,150,20534,375,198,104,1011,4758,3471,2566,1919,1344,1477,1210,889,684,293,113,122,22858,503,254,140,1179,5319,3691,3025,2206,1561,1555,1226,927,717,315,123,117
"대전광역시","남자",8933,205,132,102,464,1747,1542,1124,834,735,610,513,410,269,117,61,68,9222,196,156,90,477,1831,1586,1184,883,703,653,536,380,318,113,47,69,9703,190,104,52,492,2083,1569,1253,975,685,746,574,400,349,126,56,49,10959,259,128,74,605,2504,1715,1445,1060,791,777,598,427,336,145,49,46
"대전광역시","여자",10147,202,133,89,463,2627,1912,1146,743,618,596,609,455,277,141,53,83,10465,207,155,94,498,2611,1876,1252,805,637,648,622,461,303,157,58,81,10831,185,94,52,519,2675,1902,1313,944,659,731,636,489,335,167,57,73,11899,244,126,66,574,2815,1976,1580,1146,770,778,628,500,381,170,74,71
"울산광역시","계",29860,631,333,146,427,2518,5362,4826,3313,3014,3080,2705,1747,1035,393,159,171,28792,594,365,150,432,2326,5076,4705,3227,2667,2973,2752,1664,1063,444,160,194,26601,504,273,148,384,2088,4413,4523,3143,2354,2794,2558,1556,1048,462,155,198,27162,457,255,176,457,2472,4280,4550,3330,2427,2664,2463,1766,1017,474,164,210
"울산광역시","남자",19321,336,173,63,237,1562,3669,3516,2353,2057,1881,1544,1017,593,210,70,40,18160,296,198,61,250,1424,3396,3284,2238,1796,1751,1585,958,584,223,66,50,16354,263,149,64,218,1179,2889,3081,2081,1534,1655,1453,872,574,230,62,50,16532,226,128,92,252,1491,2771,2993,2213,1507,1569,1404,983,555,222,68,58
"울산광역시","여자",10539,295,160,83,190,956,1693,1310,960,957,1199,1161,730,442,183,89,131,10632,298,167,89,182,902,1680,1421,989,871,1222,1167,706,479,221,94,144,10247,241,124,84,166,909,1524,1442,1062,820,1139,1105,684,474,232,93,148,10630,231,127,84,205,981,1509,1557,1117,920,1095,1059,783,462,252,96,152
"세종특별자치시","계",4471,52,42,18,127,572,891,739,512,416,343,311,201,132,66,15,34,4835,67,40,14,156,568,892,797,551,423,390,384,253,168,75,24,33,5290,69,38,22,190,615,951,889,610,466,428,413,261,216,73,25,24,6486,86,52,34,331,925,1127,1025,773,564,473,395,332,223,92,27,27
"세종특별자치시","남자",2755,31,16,11,63,332,609,479,332,280,188,169,113,78,37,6,11,2883,40,18,X,83,315,573,501,350,269,227,214,134,93,40,11,11,3130,42,23,5,97,350,607,550,370,297,237,234,137,119,41,14,7,3887,48,28,7,195,535,735,669,465,333,283,219,168,122,57,16,7
"세종특별자치시","여자",1716,21,26,7,64,240,282,260,180,136,155,142,88,54,29,9,23,1952,27,22,10,73,253,319,296,201,154,163,170,119,75,35,13,22,2160,27,15,17,93,265,344,339,240,169,191,179,124,97,32,11,17,2599,38,24,27,136,390,392,356,308,231,190,176,164,101,35,11,20
"경기도","계",452632,8468,4549,2532,5050,36761,76456,70227,51623,43484,42740,40545,32421,21666,9166,3164,3780,472699,9920,5642,2945,5568,37353,77821,75460,54115,42765,43923,43367,31431,24786,10334,3308,3961,497089,10851,5483,2752,5778,38031,79865,81650,59920,42675,45987,43578,32383,28129,12182,3808,4017,558197,12901,7051,3919,7625,45807,85114,91369,68424,47185,49504,45905,39924,30691,14033,4385,4360
"경기도","남자",269861,4285,2351,1311,2622,23551,49759,46564,34106,26804,23513,20689,16224,10938,4450,1355,1339,282365,5041,2975,1529,2798,24120,51514,49779,35635,26583,24422,22268,15605,12465,4983,1345,1303,295967,5486,2841,1359,2925,24530,53049,53399,39200,26302,25587,22609,16069,14040,5827,1528,1216,333260,6613,3546,1935,3950,29992,57443,59585,44295,29308,27796,24190,19760,15200,6634,1794,1219
"경기도","여자",182771,4183,2198,1221,2428,13210,26697,23663,17517,16680,19227,19856,16197,10728,4716,1809,2441,190334,4879,2667,1416,2770,13233,26307,25681,18480,16182,19501,21099,15826,12321,5351,1963,2658,201122,5365,2642,1393,2853,13501,26816,28251,20720,16373,20400,20969,16314,14089,6355,2280,2801,224937,6288,3505,1984,3675,15815,27671,31784,24129,17877,21708,21715,20164,15491,7399,2591,3141
"강원도","계",18306,181,171,105,454,3105,3537,2684,1800,1479,1344,1144,932,655,344,184,187,19364,154,181,112,494,3477,3662,2924,1922,1488,1383,1246,908,689,364,190,170,20996,119,86,71,626,4111,3852,3095,2221,1534,1522,1323,955,736,393,174,178,24149,147,103,102,768,4849,4502,3669,2711,1809,1660,1393,1018,674,395,159,190
"강원도","남자",9640,100,77,53,194,1562,1911,1574,1135,866,626,473,408,317,174,83,87,10339,84,88,56,234,1919,2007,1682,1172,856,657,516,400,336,167,100,65,11279,65,36,32,323,2370,2165,1747,1299,855,736,548,405,357,188,85,68,13077,73,49,49,419,2815,2627,2059,1528,979,808,586,429,317,175,84,80
"강원도","여자",8666,81,94,52,260,1543,1626,1110,665,613,718,671,524,338,170,101,100,9025,70,93,56,260,1558,1655,1242,750,632,726,730,508,353,197,90,105,9717,54,50,39,303,1741,1687,1348,922,679,786,775,550,379,205,89,110,11072,74,54,53,349,2034,1875,1610,1183,830,852,807,589,357,220,75,110
"충청북도","계",40758,361,287,214,645,4958,7793,6460,4682,3747,3606,3230,2373,1314,617,205,266,44901,493,375,232,757,5829,8473,7063,5167,3908,3802,3647,2465,1526,685,219,260,48237,603,379,238,942,6121,8847,7942,5698,4045,4118,3653,2585,1798,749,262,257,54835,752,487,324,1138,7239,9840,9115,6867,4634,4401,3768,2959,1944,834,291,242
"충청북도","남자",25416,185,146,107,314,2841,5087,4458,3308,2422,2095,1804,1384,750,320,92,103,28225,254,194,114,369,3588,5610,4813,3657,2490,2242,2073,1374,899,355,96,97,30178,298,180,127,519,3820,5875,5383,3913,2549,2424,2056,1402,1055,381,120,76,34279,399,233,172,605,4665,6549,6116,4648,2896,2580,2101,1573,1133,426,116,67
"충청북도","여자",15342,176,141,107,331,2117,2706,2002,1374,1325,1511,1426,989,564,297,113,163,16676,239,181,118,388,2241,2863,2250,1510,1418,1560,1574,1091,627,330,123,163,18059,305,199,111,423,2301,2972,2559,1785,1496,1694,1597,1183,743,368,142,181,20556,353,254,152,533,2574,3291,2999,2219,1738,1821,1667,1386,811,408,175,175
"충청남도","계",71082,794,426,255,1147,8954,13553,11759,8621,6988,6126,5089,3514,2202,880,341,433,77533,1023,625,325,1350,9888,14247,12981,9399,7228,6587,5714,3631,2621,1038,399,477,84752,1241,652,373,1779,10584,15122,14376,10664,7566,7337,6047,3955,2980,1164,455,457,95838,1538,899,562,2210,12396,16461,16359,12474,8550,8028,6241,4566,3152,1385,515,502
"충청남도","남자",44171,435,223,129,513,4996,8777,8187,6141,4713,3568,2727,1866,1154,445,148,149,48042,536,327,157,595,5630,9383,8832,6600,4813,3928,3086,1917,1351,542,175,170,52102,626,358,205,793,5993,10059,9677,7371,4936,4349,3222,2008,1571,604,191,139,58511,775,471,294,1037,7194,10913,10815,8335,5544,4759,3366,2326,1639,688,202,153
"충청남도","여자",26911,359,203,126,634,3958,4776,3572,2480,2275,2558,2362,1648,1048,435,193,284,29491,487,298,168,755,4258,4864,4149,2799,2415,2659,2628,1714,1270,496,224,307,32650,615,294,168,986,4591,5063,4699,3293,2630,2988,2825,1947,1409,560,264,318,37327,763,428,268,1173,5202,5548,5544,4139,3006,3269,2875,2240,1513,697,313,349
"전라북도","계",29930,306,221,159,521,4874,6255,4668,2946,2315,2247,2128,1566,913,406,193,212,31549,315,246,153,689,5281,6544,4963,3209,2330,2291,2210,1506,952,455,210,195,33764,267,167,100,1242,6046,6685,5286,3483,2385,2412,2198,1542,1077,467,215,192,39131,360,162,106,1455,7775,7611,6395,4277,2771,2561,2139,1603,1062,449,231,174
"전라북도","남자",16421,162,105,83,256,2396,3679,2909,1871,1333,1092,950,739,438,216,95,97,17261,166,121,84,354,2553,3874,3022,1986,1329,1160,1039,691,474,226,99,83,18246,151,82,48,630,3075,3859,3163,2060,1326,1208,1018,684,521,240,104,77,21151,195,91,52,770,4299,4358,3739,2393,1448,1276,947,701,505,206,110,61
"전라북도","여자",13509,144,116,76,265,2478,2576,1759,1075,982,1155,1178,827,475,190,98,115,14288,149,125,69,335,2728,2670,1941,1223,1001,1131,1171,815,478,229,111,112,15518,116,85,52,612,2971,2826,2123,1423,1059,1204,1180,858,556,227,111,115,17980,165,71,54,685,3476,3253,2656,1884,1323,1285,1192,902,557,243,121,113
"전라남도","계",34611,218,163,99,398,5315,7804,5765,3735,3121,2658,2241,1555,873,361,149,156,36630,221,191,118,465,5646,8271,6145,4093,3142,2681,2330,1627,921,445,151,183,37212,173,140,100,522,5339,8530,6455,4418,3087,2783,2337,1551,1006,463,146,162,42520,187,120,112,840,5935,9714,7673,5378,3652,3006,2396,1712,1032,448,159,156
"전라남도","남자",21107,105,78,54,185,3173,4981,3945,2585,2061,1383,1024,759,439,192,66,77,22401,116,96,58,228,3516,5384,4115,2826,2030,1387,1060,760,449,215,71,90,22540,92,64,51,242,3349,5615,4200,2933,1949,1470,1029,693,502,225,60,66,26005,92,54,60,453,3825,6524,4941,3495,2251,1606,1092,786,484,224,63,55
"전라남도","여자",13504,113,85,45,213,2142,2823,1820,1150,1060,1275,1217,796,434,169,83,79,14229,105,95,60,237,2130,2887,2030,1267,1112,1294,1270,867,472,230,80,93,14672,81,76,49,280,1990,2915,2255,1485,1138,1313,1308,858,504,238,86,96,16515,95,66,52,387,2110,3190,2732,1883,1401,1400,1304,926,548,224,96,101
"경상북도","계",57565,540,344,157,959,8512,13102,10744,7054,4980,3765,2946,2122,1257,588,231,264,60706,572,409,195,1272,8921,13486,11337,7455,5151,4077,3186,2154,1383,616,226,266,63978,617,348,214,1835,9644,13753,11782,8081,5267,4260,3333,2268,1429,658,255,234,74071,748,467,315,2539,12169,15247,13524,9740,6103,4714,3458,2382,1482,676,277,230
"경상북도","남자",36841,246,173,92,458,5116,8671,7632,5151,3422,2135,1559,1069,636,288,100,93,38701,282,204,100,600,5278,8969,7985,5342,3512,2401,1696,1097,724,308,107,96,40166,322,164,110,847,5702,9209,8132,5592,3479,2483,1765,1147,710,317,114,73,45955,369,255,160,1177,7268,10161,8986,6591,3892,2797,1809,1202,762,324,122,80
"경상북도","여자",20724,294,171,65,501,3396,4431,3112,1903,1558,1630,1387,1053,621,300,131,171,22005,290,205,95,672,3643,4517,3352,2113,1639,1676,1490,1057,659,308,119,170,23812,295,184,104,988,3942,4544,3650,2489,1788,1777,1568,1121,719,341,141,161,28116,379,212,155,1362,4901,5086,4538,3149,2211,1917,1649,1180,720,352,155,150
"경상남도","계",90361,1037,692,394,693,10589,21501,18260,11418,8175,6289,4948,3115,1923,740,264,323,92185,1033,773,454,810,9884,20786,19021,12085,8380,6802,5425,3198,2080,824,293,337,91072,947,607,371,1037,9135,19660,19305,12560,8093,6819,5370,3420,2168,934,318,328,97494,1158,731,490,1284,10488,20085,20629,14123,8974,6882,5197,3646,2124,1013,354,316
"경상남도","남자",64330,534,351,199,310,7200,16387,14613,8935,5915,3852,2722,1662,1026,382,123,119,64895,514,383,218,376,6524,15716,14973,9381,6076,4252,3019,1733,1082,394,131,123,62550,478,306,181,546,5753,14438,14808,9502,5732,4209,2926,1812,1132,466,140,121,65918,574,366,251,703,6659,14501,15348,10472,6220,4240,2835,1908,1084,500,146,111
"경상남도","여자",26031,503,341,195,383,3389,5114,3647,2483,2260,2437,2226,1453,897,358,141,204,27290,519,390,236,434,3360,5070,4048,2704,2304,2550,2406,1465,998,430,162,214,28522,469,301,190,491,3382,5222,4497,3058,2361,2610,2444,1608,1036,468,178,207,31576,584,365,239,581,3829,5584,5281,3651,2754,2642,2362,1738,1040,513,208,205
"제주특별자치도","계",15146,255,204,147,423,2502,3218,2429,1692,1212,930,718,547,426,214,104,125,17476,289,256,146,462,2859,3549,2906,2105,1362,1102,837,600,514,248,105,136,20400,322,215,157,516,3090,4017,3512,2728,1730,1346,952,703,607,270,114,121,25287,441,295,237,674,3801,5025,4461,3509,2221,1569,1043,791,642,308,147,123
"제주특별자치도","남자",8914,128,104,67,227,1472,1878,1560,1166,810,510,339,245,191,102,56,59,10194,161,129,74,245,1744,2066,1766,1388,862,628,396,274,228,112,60,61,11652,171,102,78,250,1930,2450,2043,1622,959,738,460,329,286,113,68,53,14884,231,144,122,339,2503,3304,2677,2014,1178,886,539,398,284,133,77,55
"제주특별자치도","여자",6232,127,100,80,196,1030,1340,869,526,402,420,379,302,235,112,48,66,7282,128,127,72,217,1115,1483,1140,717,500,474,441,326,286,136,45,75,8748,151,113,79,266,1160,1567,1469,1106,771,608,492,374,321,157,46,68,10403,210,151,115,335,1298,1721,1784,1495,1043,683,504,393,358,175,70,68
