"행정구역별(1)",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"행정구역별(1)",총인구 (명),합계 (명),합계 (명),합계 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),외국인주민자녀 (명),외국인주민자녀 (명),외국인주민자녀 (명),총인구 (명),합계 (명),합계 (명),합계 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),외국인주민자녀 (명),외국인주민자녀 (명),외국인주민자녀 (명),총인구 (명),총인구 (명),총인구 (명),합계 (명),합계 (명),합계 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 가지지 않은 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),한국국적을 취득한 자 (명),외국인주민자녀 (명),외국인주민자녀 (명),외국인주민자녀 (명)
"행정구역별(1)",소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,외국인근로자,외국인근로자,외국인근로자,결혼이민자,결혼이민자,결혼이민자,유학생,유학생,유학생,외국국적동포,외국국적동포,외국국적동포,기타외국인,기타외국인,기타외국인,소계,소계,소계,소계,소계,소계
"행정구역별(1)",합계,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자,합계,남자,여자
"합계",51269554,1764664,946561,818103,1413758,815467,598291,541673,416357,125316,159501,28728,130773,95963,41861,54102,235926,119263,116663,380695,209258,171437,159447,32816,126631,191459,98278,93181,51422507,1861084,989286,871798,1479247,845663,633584,495792,387579,108213,160653,30745,129908,117127,52258,64869,276750,138002,138748,428925,237079,191846,169535,34762,134773,212302,108861,103441,51629512,25877195,25752317,2054621,1098135,956486,1651561,945641,705920,528063,411036,117027,166882,32858,134024,142757,66545,76212,296023,147461,148562,517836,287741,230095,176915,36657,140258,226145,115837,110308
"서울특별시",9805506,404037,189361,214676,335167,162741,172426,85878,51724,34154,33139,9524,23615,37178,13049,24129,80712,36109,44603,98260,52335,45925,40775,12411,28364,28095,14209,13886,9741871,413943,192250,221693,343927,165249,178678,70077,43365,26712,32061,9768,22293,44150,15142,29008,92060,40974,51086,105579,56000,49579,41692,12722,28970,28324,14279,14045,9673936,4718972,4954964,446473,210415,236058,374425,182420,192005,80567,50594,29973,32677,9937,22740,50488,17676,32812,93067,41613,51454,117626,62600,55026,42040,12854,29186,30008,15141,14867
"부산광역시",3440484,59872,31901,27971,46168,26920,19248,15934,14028,1906,6672,984,5688,7346,3203,4143,3644,1773,1871,12572,6932,5640,5181,614,4567,8523,4367,4156,3416918,64145,33841,30304,48808,28130,20678,14901,13245,1656,6841,1096,5745,9071,4202,4869,3961,1889,2072,14034,7698,6336,5496,657,4839,9841,5054,4787,3395278,1668984,1726294,71570,37623,33947,55506,31621,23885,14779,13012,1767,6949,1108,5841,11370,5549,5821,3911,1836,2075,18497,10116,8381,5671,694,4977,10393,5308,5085
"대구광역시",2461002,40251,21407,18844,30492,17948,12544,11181,9162,2019,4793,694,4099,2844,1515,1329,2637,1401,1236,9037,5176,3861,3610,388,3222,6149,3071,3078,2453041,42506,22137,20369,31365,18112,13253,10219,8462,1757,4943,759,4184,3240,1722,1518,2986,1594,1392,9977,5575,4402,3872,419,3453,7269,3606,3663,2444412,1212777,1231635,47017,24117,22900,35280,19839,15441,9718,8050,1668,5154,799,4355,4248,2230,2018,3172,1688,1484,12988,7072,5916,4022,438,3584,7715,3840,3875
"인천광역시",2913024,94670,50587,44083,71873,41959,29914,25628,20723,4905,9873,2031,7842,2702,1111,1591,11881,5829,6052,21789,12265,9524,11115,2615,8500,11682,6013,5669,2925967,104441,55363,49078,79170,45773,33397,23783,19393,4390,10143,2268,7875,3268,1467,1801,14829,7053,7776,27147,15592,11555,12483,3038,9445,12788,6552,6236,2936117,1476097,1460020,115720,61181,54539,88489,50742,37747,25539,20632,4907,10875,2498,8377,3978,1835,2143,17295,8205,9090,30802,17572,13230,13560,3414,10146,13671,7025,6646
"광주광역시",1501557,31162,15945,15217,23701,13211,10490,7538,5997,1541,3298,361,2937,3577,1750,1827,2173,1148,1025,7115,3955,3160,2703,234,2469,4758,2500,2258,1496172,34412,17661,16751,26052,14532,11520,7413,5904,1509,3372,416,2956,4271,2205,2066,2652,1363,1289,8344,4644,3700,2912,239,2673,5448,2890,2558,1490092,741728,748364,38698,19943,18755,29833,16601,13232,7515,5981,1534,3413,456,2957,5203,2779,2424,2829,1454,1375,10873,5931,4942,3042,255,2787,5823,3087,2736
"대전광역시",1535445,26656,11817,14839,19687,9222,10465,3079,2160,919,3361,422,2939,5467,2633,2834,1644,763,881,6136,3244,2892,2538,317,2221,4431,2278,2153,1525849,28404,12647,15757,20534,9703,10831,2826,2006,820,3346,465,2881,6003,2955,3048,1805,839,966,6554,3438,3116,2760,340,2420,5110,2604,2506,1511214,758035,753179,31100,14053,17047,22858,10959,11899,2903,2046,857,3355,496,2859,6470,3310,3160,1821,835,986,8309,4272,4037,2877,357,2520,5365,2737,2628
"울산광역시",1166033,35929,20768,15161,28792,18160,10632,11690,9585,2105,3332,444,2888,1067,683,384,5150,3287,1863,7553,4161,3392,2885,429,2456,4252,2179,2073,1157077,34373,19260,15113,26601,16354,10247,9218,7756,1462,3346,480,2866,1171,720,451,5091,3134,1957,7775,4264,3511,2950,421,2529,4822,2485,2337,1150116,595795,554321,35249,19555,15694,27162,16532,10630,8818,7339,1479,3373,512,2861,1446,943,503,4948,3040,1908,8577,4698,3879,3038,422,2616,5049,2601,2448
"세종특별자치시",242507,6084,3351,2733,4835,2883,1952,1876,1528,348,598,97,501,556,273,283,604,328,276,1201,657,544,455,57,398,794,411,383,276589,6761,3683,3078,5290,3130,2160,1886,1543,343,691,122,569,606,307,299,770,413,357,1337,745,592,534,69,465,937,484,453,312374,157289,155085,8187,4545,3642,6486,3887,2599,2013,1659,354,758,131,627,1023,609,414,821,448,373,1871,1040,831,593,79,514,1108,579,529
"경기도",12671956,571384,319501,251883,472699,282365,190334,204280,153244,51036,46297,9712,36585,11879,6039,5840,88179,45126,43053,122064,68244,53820,49551,11967,37584,49134,25169,23965,12851601,603609,336239,267370,497089,295967,201122,189028,144869,44159,47161,10416,36745,14609,7516,7093,106827,53938,52889,139464,79228,60236,53368,12950,40418,53152,27322,25830,13103188,6635106,6468082,672791,376838,295953,558197,333260,224937,205140,156867,48273,50059,11404,38655,19101,9978,9123,118760,59679,59081,165137,95332,69805,57082,14040,43042,57512,29538,27974
"강원도",1521751,28469,13651,14818,19364,10339,9025,6533,5306,1227,3547,265,3282,2358,1198,1160,1584,766,818,5342,2804,2538,3221,252,2969,5884,3060,2824,1521386,31123,15007,16116,20996,11279,9717,6528,5315,1213,3538,301,3237,3288,1802,1486,1779,853,926,5863,3008,2855,3451,264,3187,6676,3464,3212,1520391,768604,751787,34682,16952,17730,24149,13077,11072,6553,5317,1236,3645,335,3310,4248,2532,1716,1818,885,933,7885,4008,3877,3567,282,3285,6966,3593,3373
"충청북도",1603404,56660,32446,24214,44901,28225,16676,19718,16154,3564,4841,548,4293,2951,1528,1423,6453,4016,2437,10938,5979,4959,4592,564,4028,7167,3657,3510,1611009,61246,34907,26339,48237,30178,18059,19087,15741,3346,5005,615,4390,3388,1836,1552,7846,4780,3066,12911,7206,5705,4877,588,4289,8132,4141,3991,1620935,826183,794752,68641,39331,29310,54835,34279,20556,20263,16677,3586,5279,700,4579,3919,2173,1746,8883,5363,3520,16491,9366,7125,5112,625,4487,8694,4427,4267
"충청남도",2132566,95553,54736,40817,77533,48042,29491,34044,27348,6696,8020,824,7196,5032,2283,2749,12263,7541,4722,18174,10046,8128,6843,973,5870,11177,5721,5456,2162426,104854,59560,45294,84752,52102,32650,33806,27259,6547,8162,916,7246,6149,2872,3277,15100,9096,6004,21535,11959,9576,7474,1003,6471,12628,6455,6173,2181416,1119996,1061420,117094,66392,50702,95838,58511,37327,35275,28482,6793,8564,1027,7537,7170,3449,3721,17012,10080,6932,27817,15473,12344,7832,1059,6773,13424,6822,6602
"전라북도",1833168,45836,22557,23279,31549,17261,14288,11045,9160,1885,5768,388,5380,3342,1677,1665,1986,1104,882,9408,4932,4476,4800,291,4509,9487,5005,4482,1826174,49840,24301,25539,33764,18246,15518,10419,8650,1769,5817,433,5384,5095,2745,2350,2135,1165,970,10298,5253,5045,5083,302,4781,10993,5753,5240,1818157,907683,910474,55940,27479,28461,39131,21151,17980,10863,9076,1787,5938,472,5466,7001,3982,3019,2158,1158,1000,13171,6463,6708,5227,320,4907,11582,6008,5574
"전라남도",1796017,53066,28492,24574,36630,22401,14229,17409,15407,2002,6645,281,6364,1301,672,629,2223,1300,923,9052,4741,4311,5104,273,4831,11332,5818,5514,1792319,55504,29444,26060,37212,22540,14672,16689,14861,1828,6514,304,6210,1512,824,688,2238,1258,980,10259,5293,4966,5392,273,5119,12900,6631,6269,1790352,900154,890198,61607,33283,28324,42520,26005,16515,17737,15988,1749,6489,343,6146,2132,1253,879,2267,1275,992,13895,7146,6749,5551,293,5258,13536,6985,6551
"경상북도",2682169,78339,45097,33242,60706,38701,22005,28267,24239,4028,7473,670,6803,5470,2842,2628,4959,2986,1973,14537,7964,6573,6167,493,5674,11466,5903,5563,2677058,83898,47540,36358,63978,40166,23812,26283,22798,3485,7507,746,6761,7398,3906,3492,5603,3273,2330,17187,9443,7744,6483,471,6012,13437,6903,6534,2672902,1352869,1320033,94873,53669,41204,74071,45955,28116,26675,23218,3457,7810,836,6974,9983,5487,4496,5922,3469,2453,23681,12945,10736,6634,482,6152,14168,7232,6936
"경상남도",3339633,114594,72868,41726,92185,64895,27290,50113,44621,5492,9554,1177,8377,1770,886,884,8125,5011,3114,22623,13200,9423,8375,665,7710,14034,7308,6726,3345293,116379,71644,44735,91072,62550,28522,44877,39778,5099,9738,1288,8450,2559,1414,1145,9157,5490,3667,24741,14580,10161,8987,697,8290,16320,8397,7923,3350350,1703904,1646446,123947,75537,48410,97494,65918,31576,43665,38612,5053,9927,1411,8516,3091,1735,1356,9305,5500,3805,31506,18660,12846,9179,707,8472,17274,8912,8362
"제주특별자치도",623332,22102,12076,10026,17476,10194,7282,7460,5971,1489,2290,306,1984,1123,519,604,1709,775,934,4894,2623,2271,1532,273,1259,3094,1609,1485,641757,25646,13802,11844,20400,11652,8748,8752,6634,2118,2468,352,2116,1349,623,726,1911,890,1021,5920,3153,2767,1721,309,1412,3525,1841,1684,658282,333019,325263,31032,17222,13810,25287,14884,10403,10040,7486,2554,2617,393,2224,1886,1025,861,2034,933,1101,8710,5047,3663,1888,336,1552,3857,2002,1855
